en,fr,predicted
new kidney transplants,les nouveaux greffons rénaux,charles j. burstone (1928-2015)
in memoriam. charles j. burstone (1928-2015),in memoriam. charles j. burstone (1928-2015),l’histoire de l’orthodontie
the prehistory of orthodontics,la préhistoire de l'orthodontie,en citation à l'égard du processus
in process citation,"commentaire du travail de bove v et al., pp. 611",chodiotide séropigine maculaire
macular serpiginous choroiditis,choroïdite serpigineuse maculaire,sébacéen carcinome de la glande parotidique
sebaceous carcinoma of the parotid gland,carcinome sébacé de la glande parotide,paralysie faciale : pratique de l'attitude
facial paralysis: attitude practice,paralysie faciale: attitude pratique, l'aide d'un échographie diagnostique dans le pneumothorax
diagnostic ultrasound in pneumothorax,diagnostic échographique du pneumothorax,et l'infection à l'hydrochloroquine
early cardiotoxicity of hydroxychloroquine,cardiotoxicité précoce de l'hydroxychloroquine, l'aide d'un pseudotumor pancréatique
pancreatic pseudotumor,une pseudo-tumeur pancréatique,Nouvelles sur les maladies infectieuses
infectious diseases news,infos infectieux,myélite révélant une sarcodose
myelitis revealing sarcoidosis,myélite sarcoïdosique révélatrice,en citation à l'égard du processus
in process citation,"commentaire du travail de tsujii y et al., pp. 775",syndrome de poèmes : un diagnostic à ne pas ignorer
poems syndrome: a diagnosis to not to ignore,poems syndrome: un diagnostic à ne pas méconnaitre,cytoplasme cytoplasmique de la glande parotidique
cystic lymphangioma of the parotid gland,lymphangiome kystique de la parotide,d'un cas rare de dislocation subtalaire pure
a rare case of pure subtalar dislocation,un cas rare de luxation sous-talienne pure,syndrome waardenburg
waardenburg syndrome,syndrome de waardenburg,"rapport sommaire - Maladies mentales au Canada, 2015"
"report summary--mental illness in canada, 2015",journées de neurologie de langue française 2015,inégalités sociales dans la santé périnatale
social inequalities in perinatal health,inégalités sociales en santé périnatale,Leucémie lymphocytique chronique
chronic lymphocytic leukemia,leucémies lymphoïdes chroniques,dépendance à l'alcool
addiction to alcohol,addiction à l'alcool,et complications de l'accès veineux
monitoring and complications of venous access,surveillance et complications des abords veineux,allaitement maternel
breastfeeding,allaitement maternel,et l'abandon de l'alcool
realities of alcohol withdrawal,actualité dans le sevrage alcoolique,prévention des complications liées à l'allaitement maternel
prevention of breastfeeding complications,prévention des complications de l'allaitement,un centre de soins primaires fondé sur des données probantes
an evidence based center for primary care,un centre de ressources (de soins primaires),l’hypertension artérielle d’origine rénale
arterial hypertension of renal origin,hypertensions artérieles d'origine rénale,phéochromocytome et paraganglioma
pheochromocytoma and paraganglioma,phéochromocytome et paragangliome,sténose de l'artère rénale
renal artery stenosis,sténoses artérielles rénales,aldostéronisme primaire
primary aldosteronism,hyperaldostéronisme primaire,biologie du cancer colorectal
colorectal cancer biology,biologie des cancers colorectaux,l’administration du cancer colorectal métastatique
management of metastatic colorectal cancer,traitement du cancer colorectal métastatique, l'aide d'un traitement adjuvant pour le cancer du côlon resécré
adjuvant treatment for resected colon cancer,traitements adjuvants des cancers du côlon,peri-operative treatments for rectal cancer
peri-operative treatments for rectal cancer,traitements péri-opératoires du cancer du rectum,Surgical treatment of colorectal cancer
surgical treatment of colorectal cancer,traitement chirurgical du cancer colorectal, l'aide d'un examen et d'une prévention du cancer colorectal
screening and prevention of colorectal cancer,dépistage et prévention du cancer colorectal,épidémiologie du cancer colorectal
epidemiology of colorectal cancer,épidémiologie du cancer colorectal,Cancer colorectal: a heterogeneous complex model
colorectal cancer: a heterogeneous complex model,cancer colorectal: un modèle hétérogène complexe,maladies du virus de l'ebola
ebola virus disease,maladie à virus ebola,maladies du foie vasculaire
vascular liver diseases,maladies vasculaires du foie,l’extraction du tabac
getting out of tobacco,sortir du tabac,et l'infertilité
circulating nucleic acids and infertility,les acides nucléiques circulants et infertilité,en citation à l'égard du processus
in process citation,médecine vasculaire du futur…,en citation à l'égard du processus
in process citation,éditorial,planification stratégique ornac : 2015-2018
ornac strategic planning: 2015-2018,discussion,Débat
discussion,discussion,d’une dépression majeure et d’une médecine personnalisée
major depression and personalized medicine,dépression majeure et prescription personnalisée,l’ostéoporose et la médecine personnalisée
osteoporosis and personalized medicine,ostéoporose et médecine personnalisée,approche générale et personnalisée des biomarqueurs
general and personalized approach of biomarkers,approche globale et personnalisée des biomarqueurs,l’assise de la médecine fondée sur des données probantes
the foundations of evidence-based medicine,les fondements de la médecine factuelle,l’embolie pulmonaire : une mise à jour de 2015
management of pulmonary embolism: a 2015 update,prise en charge de l'embolie pulmonaire en 2015,l’avant-poste et les autres titres
the frontage and the other headlines,l'arbre et la forêt,éditorial
editorial,éditorial,Est-ce que la météo et les saisons influencent notre coeur?
do weather and seasons influence our heart?,météo et saisons influencent-elles notre cœur?,Quoi de neuf en ce qui concerne la maladie d'alzheimer?
what's new in alzheimer disease?,quoi de neuf du côté de la maladie d'alzheimer?,l’administration de la marijuana pour la douleur chronique
prescribing marijuana for chronic pain,prescrire la marijuana pour la douleur chronique,danse avec intelligence artificielle
dancing with artificial intelligence,danse avec l'intelligence artificielle,41 % des résidents génétiquement en surpoids
41% of geneve residents are overweight,41% des genevois sont en surpoids,pomalidomide pour le myélome multiple
pomalidomide for multiple myeloma,le pomalidomide dans le myélome multiple,et d'autres mesures d'atténuation des conflits d'intérêts
conflicts in conflicts of interest,conflits dans les conflits d'intérêts,vaud : accord historique en oncologie
vaud: historic agreement in oncology,vaud: accord &quot;historique&quot; en oncologie,"Merci, vous êtes bienvenue"
"thanks, you're welcome","merci, de rien",chirurgie hépatique assistée par robot
robotic-assisted hepatic surgery,la chirurgie hépatique robot-assistée,chirurgie 2015 : stratégies et technologies
surgery 2015: strategies and technologies,chirurgie 2015: stratégies et technologies, l'aide d'un dispositif de pression négative : npt
negative pressure therapy: npt,la thérapie à pression négative : la tpn,a) Mélanonychie longitudinale
longitudinal melanonychia,mélanonychie longitudinale,urgences et urgentes hypertensives
hypertensive emergencies and urgencies,vraies et fausses urgences hypertensives, propos de l'amélioration morale
about moral enhancement,à propos du moral enhancement,et l’humanité synthétique
from synthetic biology to synthetic humankind,de la biologie synthétique à l'homme synthétique,noma
noma,le noma,destin de la bioéthique
bioethics destiny,le devenir de la bioéthique,i m'aperçoit... un cerclage cervical sauvegardé
how i perform…a rescue cervical cerclage,comment je fais…un cerclage « parachute »,en citation à l'égard du processus
in process citation,avant-propos,masse médiane postérieure
posterior mediastinal mass,masses médiastinales postérieures,s'échapper d'un scooter
fall from a scooter,chute en trottinette,en citation à l'égard du processus
in process citation,"commentaire du travail de arnelo u et al., pp. 696",en citation à l'égard du processus
in process citation,"commentaire du travail de sinh p et al., pp. 669",en citation à l'égard du processus
in process citation,"commentaire du travail de chung kh et al., pp. 508",et l’effet des médicaments sur la cognition chez les personnes âgées
drugs effect on cognition in the elderly,médicaments et cognition chez le sujet âgé, l'aide de l'analyse de la fibrose rénale
micrornas in kidney fibrosis,implication des microarn dans la fibrose rénale, l’égard d’un élève isolé : à propos d’un cas
isolated adie pupil: about a case,pupille d'adie isolée: à propos d'un cas,avulsion à la penile et à la scrote par corne de vache
penile and scrotal avulsion by cow horn,avulsion péno-scrotale par encornement de zebu,trichofolliculoma de la coulée oculaire
trichofolliculoma of the eyelid,trichofolliculome palpébral,hamartoma rétinétique
a retinal hamartoma,un hamartome rétinien,d'une id génétique pour demain?
a genetic id for tomorrow?,une carte d'identité génétique pour demain ?,"l'immortalité, la mort et d'autres phénomènes mineurs"
"immortality, death and other minor phenomena","immortalité, mort et autres menus phénoménes",évolution et changements de la planification familiale
evolution and changes of family planning,les mutations du planning familial,un drone spectaculaire
a dramatic drone,drone de drame,ovaires polycystiques : qu'est-ce que les nouvelles en 2015?
polycystic ovaries: what's news in 2015?,syndrome des ovaires polykystiques: quoi de neuf?,vaporisateurs de tabac : comment réagir?
new tobacco vaporizers: how to react?,nouveaux vaporisateurs de tabac: comment réagir?,Arrêt de fumer : mise à jour 2015
smoking cessation: update 2015,tabacologie: mise au point 2015,cigarette électronique : que savons-nous en 2015?
electronic cigarette: what do we know in 2015?,cigarette eiectronique: le point en 2015,aérobies se développent sur la trachée
aeric bubbles developed on the trachea,bulles aériques appendues à la trachée,lyme disease: où est la controverse?
lyme disease: where is the controversy?,maladie de lyme: où est la controverse ?,femtoseconde chirurgie de la cataracte assistée par laser
femtosecond laser-assisted cataract surgery,chirurgie de la cataracte assistée par laser, l'insigne des nymphomètres
snowman sign,le signe du bonhomme de neige,tumeur neuro-ectodermale primitive
primitive cutaneous neuroectodermal tumour,tumeur neuroectodermique cutanée primitive, l'aide de l'analyse de l'impact des mesures d'adaptation et de l'adaptation des méthodes de traitement des maladies et des maladies à
normal variations in lingual soft tissue,variations physiologiques de la langue," l’aide d’un outil de recherche et de recherche en santé, l’Institut a établi un outil de recherche en santé publique pour évaluer les effets"
lung function in patients with diabetes mellitus,fonction pulmonaire du patient diabétique,Réadaptation à la paralysie faciale
rehabilitation of facial paralysis,rééducation des paralysies faciales,Conclusions
conclusions,conclusions du colloque,chorio-rétino-coloboma
bilateral chorio-retinal coloboma,colobome chorio-rétinien bilatéral," l'heure actuelle, ils sont en train de s'en rendre à l'époque et ils ne s'en trouvent pas à l'heure"
"hippocrates, have they gone mad?","hippocrate, ils sont devenus fous !",qui a coincé le mot français «coricide»?
who coined the french word &quot;coricide&quot;?,qui a inventé le mot &quot;coricide&quot;?,péritonéale pathologie tumorale. pré-test
peritoneal tumor pathology. pre-test,pathologie tumorale du péritoine. pré-test,syringoma chondroide cutané
cutaneous chondroid syringoma,syringome chondroïde cutané,kyste hydatid mammaire primitive
primitive mammary hydatid cyst,kyste hydatique mammaire primitive,Infarctus rénal post-traumatique
post-traumatic bilateral renal infarction,infarctus rénal bilatéral post-traumatique,hydatidosis péricardique
pericardial hydatidosis,hydatidose péricardique,lymphangiome du pied : un cas exceptionnel
lymphangioma of the foot: an exceptional case,lymphangiome du pied: un cas exceptionnel," l'aide d'un outil de recherche et de recherche en santé, l'analyse a été effectuée en utilisant des méthodes de recherche et de recherche en santé"
muscle paralysis secondary to polymyositis,paralysie musculaire secondaire à une polymyosite,- - - - - - - - - - - - - - - - - - - - - - - - 
giant metal intraocular foreign body,corps étranger métallique géant intraoculaire,uveite antérieure révélant une sarcodie
anterior uveitis revealing sarcoidosis,uvéite antérieure révélatrice d'une sarcoïdose,en citation à l'égard du processus
in process citation,ankyloblépharon filiforme adnatum,Activités de surveillance du cancer de la prostate
active surveillance for prostate cancer,surveillance active du cancer de la prostate,une cause sous-estimée de douleur fébrile du cou
an underestimated cause of febrile neck pain,une cause sous-estimée de cervicalgie fébrile,éthique du dialogue sciences-société
an ethics of dialogue sciences-society,une éthique de dialogue science-société,comment rendre utiles les débats publics
how to make useful the public debates,comment rendre utiles les débats publics,introduction
introduction,introduction,préface
preface,préface,ouverture
opening,ouverture,l'école des enfants dans un hôpital de jour
the schooling of children in a day hospital,la scolarité de l'enfant à l'hôpital de jour,l’évolution de la prise en charge d’un enfant atteint de leucémie
the care pathway of a child with leukaemia,le parcours de l'enfant atteint de leucémie,l’accès à des soins personnalisés
an pathway to individualized care,un parcours de soins individualisé,tre attentif à l'autre
be attentive to the other,être attentif à l'autre,l’hospitalisation de mrs l
the four weeks of hospitalization of mrs l,les quatre semaines d'hospitalisation de madame l,hiv : les nouveaux cas ont diminué de 10 %
hiv: new cases have decreased by 10 %,vih: les nouveaux cas ont diminué de 10%,l'arbre du miracle et la forêt de guérison
the tree of miracle and the forest of healing,l'arbre du miracle et la forêt des guérisons,folique : une vertu supplémentaire?
folic acid: an additional virtue?,acide folique: une vertu supplémentaire?,les petits accidents de la vie quotidienne
the small crashes of daily life,les petits crashs du quotidian,et d’autres outils de diagnostic pour les arythmies
new diagnostic tools for arrhythmias,nouveaux outils pour le diagnostic d'arythmies,péricarde constrictive chronique
chronic constrictive pericarditis,péricardite constrictive chronique,yves-gérard illouz (1929-2015)
in memoriam. yves-gérard illouz (1929—2015),in memoriam. yves-gérard illouz (1929—2015),en citation à l'égard du processus
in process citation,intraorales lipom am zungengrund,et l'infection à l'infection à VIH/sida
exceptional metastasis of glioblastoma,métastase exceptionnelle d'un glioblastome,dermohypodermitis révélant filariase
dermohypodermitis revealing filariasis,dermohypodermite révélant une filariose,a poly-embolie myxoma auriculaire gauche
a poly-embolism left atrial myxoma,un myxome poly-embolique de l'oreillette gauche,chondroma paraarticulaire du genou
para-articular chondroma of the knee,chondrome para-articulaire du genou,La maladie de parkinson touche 150 000 personnes en france
"parkinson disease affects 150,000 people in france","maladie de parkinson, 150,000 personnes en france",un guide sur le projet paerpa
a guide on the paerpa project,un guide sur le projet paerpa,l'agriculture et la maladie d'alzheimer
agriculture workers and alzheimer disease,population agricole et maladie d'alzheimer,mettre fin à l'isolement social de nos aînés
putting an end to social isolation of our elders,stop à l'isolement des aînés,un nouveau magazine pour les infirmières
a new magazine for nurses,une revue scientifique pour les infirmières, l’aide d’un outil de diagnostic d’acrosyndromes vasculaires
diagnosis of vascular acrosyndromes,diagnostic des acrosyndromes vasculaires,d’une diplopia de cause inhabituelle
a diplopia of unusual cause,un myosis louche,Mesures sanitaires dans le bureau dentaire
health measures in the dental office,mesures d'hygiene en cabinet dentaire,vaccinations in dentistry. an update
vaccinations in dentistry. an update,les vaccinations en médecine dentaire,arthrite rhumatode
rheumatoid arthritis,polyarthrite rhumatoïde,arthrose
arthrosis,arthrose,agranulocytose induite par le médicament
drug-induced agranulocytosis,agranulocytose médicamenteuse," l’aide d’un outil de recherche et de recherche en santé, l’analyse des maladies et des maladies a été effectuée en utilisant des méthodes de"
bipolar disorder in adolescents and adults,trouble bipolaire de l'adolescent et de l'adulte,séquentielle clinique
sequential clinical case,les dossiers cliniques progressifs,d’origine en plomb de calcium
basic calcium phosphate crystal deposition disease,rhumatisme apatitique,l’inclusion joint in hemochromatosis
joint involvement in hemochromatosis,atteintes articulaires de l'hémochromatose,Quand traiter l'hyperuricémie asymptomatique?
when to treat asymptomatic hyperuricemia?,quand traiter une hyperuricémie asymptomatique ?,gout : Quoi de neuf?
gout: what's new?,la goutte: quoi de nouveau?,2.2 Examen du liquide d'articulation
examination of joint fluid,examen du liquid articulaire,arthropathie pyrophosphate de calcium
calcium pyrophosphate arthropathy,arthropathies microcristallines,traumatologie mineure chez les enfants
minor traumatology in children,petite traumatology chez l'enfant,aigu de la fièvre chez les enfants
acute fever in children,fièvre aiguë chez l'enfant,gastro-entérite et vomissements chez les enfants
children's gastroenteritis and vomitings,gastro-entérites et vomissements de l'enfant,dyspnée infantile
child dyspnea,gêne respiratoire de l'enfant,urgences médicales pendant le premier mois de vie
medical emergencies during the first month of life,urgences médicales du premier mois de vie,migrants cutanés
cutaneous larva migrans,larva migrans cutanée,Maladies hémorragiques congénitales
congenital haemorrhagic diseases,maladies hémorragiques constitutionnelles,syndrome de poèmes
poems syndrome,syndrome poems,Que faire dans un patient intolérant aux statines?
what to do in a patient intolerant to statins?,que faire chez un patient intolérant aux statins ?," l'aide de l'information et de la documentation, l'information et la documentation sont disponibles."
metamorphosis,métamorphose,l’usage du tabac dans la pratique générale
management of tobacco smoking in general practice,prise en charge du tabagisme en médecine générale,a overview of care in orthogeriatrics
an overview of care in orthogeriatrics,tour d'horizon des soins en orthogériatrie,- Structure de l'orthogériatrie
structuring orthogeriatrics,vers une structuration de l'orthogériatrie,l’aide aux soignants familiaux
supporting family caregivers,soutenir les proches aidants,d’un textilome simulant une tumeur abdominale
a textilome simulating an abdominal tumor,un textilome simulant une tumeur abdominale,d’une obstruction intestinale aigu inhabituelle
an unusual acute intestinal obstruction,une occlusion intestinale aiguë inhabituelle,hydatid cystadénome simulant un kyste hydatid
hepatic cystadenoma simulating a hydatid cyst,cystadénome hépatique simulant un kyste hydatique,thyrodie juvénile
riedel thyroiditis,thyroïdite de riedel,invasive aspergillosis sinusitis in a diabetic
invasive aspergillosis sinusitis in a diabetic,sinusite aspergillaire invasive chez un diabétique," l'aide d'un goiter amylode, l'amylode systémique est révélée"
systemic amyloidosis revealed by amyloid goiter,amylose systémique révélée par un goitre amyloïde,tuberculose surrénale isolée unilatérale
isolated unilateral adrenal tuberculosis,tuberculose surrénalienne unilatérale isolée,séquences angiodes et pseudoxanthoma élastique
angioid streaks and elastic pseudoxanthoma,stries angioides et pseudoxanthome élastique,horton maladie révélée par dyspnéa
horton disease revealed by dyspnea,maladie de horton révélée par une dyspnée,péripartum cardiomyopathie
peripartum cardiomyopathy,cardiomyopathie du péripartum,en citation à l'égard du processus
in process citation,"phosphore, phosphatémie et mortalité","hyponatrémie, alcool et ataxie"
"hyponatremia, alcohol and ataxia","hyponatrémie, alcool et ataxie",Molecular toxicity of a lome
retinal vascular occlusions in lome,les occlusions vasculaires rétiniennes à lomé,drogues cardiotoxiques
drugs cardiotoxicity,complications cardiaques des médicaments,l'héritage de mary f. lyon (1925-2014)
the legacy of mary f. lyon (1925-2014),l'héritage de mary f. lyon (1925-2014),Stratégie chirurgicale pour le sauvetage des toxicomanes
surgical strategy to rescue the addicts,la chirurgie au secours des addictions,Contrôle de la qualité des bibliothèques chimiques
quality control of chemical libraries,contrôle qualité des chimiothèques,mir-122 continue de nous surpris
mir-122 continues to surprise us,mir-122 continue de nous surprendre,Admission à l'hôpital
hospital admission,l'admission à l'hopital,chimiothérapie d’entretien : futilité ou utilité?
maintenance chemotherapy: futility or utility?,chimiothérapie de maintenance: futile ou utile?,Molecular toxicity of a bacterial infection in adults
langerhans cell histiocytosis in adults,histiocytose langerhansienne de l'adulte,Stress professionnel et infarctus du myocarde
occupational stress and myocardial infarction,stress professionnel et infarctus du myocarde,d'ouverture de la fenêtre
opening the window,ouverture du guichet,la valeur ajoutée des infirmières
the added value of nurses,la plus-value des infirmières et infirmiers,l'adolescence et la contraception : parlons!
adolescents and contraception: let's talk!,adolescents et contraception: parlons-en!,le projet « quoi faire »
the &quot;what to do&quot; project,le projet &lt;que faire?&gt;,enjeux d'aujourd'hui
challenges of today,défis d'aujourd'hui,Expériences de réussite et projets de construction
success experiences and building projects,erfolgserlebnisse und baustellen,l’intimidation dans les maisons de soins infirmiers en swiss
bullying in swiss nursing homes,mobbing in schweizer pflegeheimen, l’embouchure des résidents
look into the mouth of the residents,schaut in den mund der bewohner,l'équipe interprofessionnelle pour une meilleure santé buccale
interprofessional team for better oral health,interprofessionell für eine bessere mundgesundheit,La santé bucco-dentaire sauve des vies
oral health saves lives,mundhygiene rettet leben,délégation des fonctions de l'opération au personnel infirmier
delegation of operative duties to nursing staff,5/10 délégation d'un acte technique hospitalier,approches mixtes en sciences infirmières
mixed approaches in nursing science,les approches mixtes en sciences infirmières,l'information en tant qu'acte de soin
information as an act of care,l'information comme acte de soin,d’une blessure liée aux soins
disclosing a care-related injury,annoncer un dommage lié aux soins,la démocratie de la santé
the healthcare democracy,la démocratie sanitaire,et l’évaluation des mesures d’adaptation à l’environnement
"clinical reasoning, for the right care","le raisonnement clinique, pour un juste soin",l’examen au lit du patient
the examinations at the bedside of the patient,les examens réalisés au chevet du patient,l’infirmière et les soins du pied diabétique
the nurse and care of the diabetic foot,l'infirmière et les soins au pied diabétique,Quelle réponse face aux urgences sanitaires?
what response in the face of health emergencies?,quelle riposte face aux crises sanitaires ?,maladies infectieuses émergentes aujourd'hui
emerging infectious diseases today,les maladies infectieuses émergentes aujourd'hui,Éclosions de virus et urgences sanitaires
virus outbreaks and health emergencies,"virus, épidémies et urgences sanitaires"," l’occasion de la tenue d’un don d’organe, il n’est pas nécessaire de faire de ce don un acte d’obligation?"
make organ donation an act of an obligation ?,faire d'un acte de don une obligation?,péritonéal tumor pathology: introduction
peritoneal tumor pathology: introduction,pathologie tumorale du péritoine : introduction,Rôle de l'infirmière dans le diagnostic de l'onychomycose
nurse's role in the diagnosis of onychomycosis,l'infirmière et l'examen mycologique des ongles,diabète et qualité de vie
diabetes and quality of life,diabète et qualité de vie,favoriser l'intégration des nouveaux arrivants
foster the integration of the new arrivals,favoriser l'intégration des nouveaux arrivants,l’entraînement peut être amusant!
training can be fun!,"se former en s'amusant, c'est possible !",d’une infirmière dans un centre de soins de santé à cobaye
a nurse in a healthcare center in guinea,infirmière dans un centre de soins en guinée,Sécurité des patients : vigilance et transparence
patient safety: vigilance and transparency,sécurité du patient : vigilance et transparence, l'aide d'un échantillon de sang à partir de veines périphériques
blood collection from peripheral vein,la ponction veineuse périphérique,- - - - - - - - - - - - - - - - - - - - - - - - 
placement of a portacath under hypnosis,pose d'une chambre implantable sous hypnose,l’analgésique des douleurs au cancer
analgesic treatment of cancer pain,le traitement antalgique des douleurs cancéreuses,et cancer
pain and cancer,douleur et cancer,Sévices et parental
child abuse and parenting,maltraitance dans l'enfance et parentalité,"L'ennui, ce qui stimule la créativité"
"boredom, what drives creativity","l'ennui, moteur de la créativité",en citation à l'égard du processus
in process citation,l'infirmière et l'examen mycologique de la peau,en citation à l'égard du processus
in process citation,l'infirmière face à un enfant hyperthermique,en citation à l'égard du processus
in process citation,les complications dégénératives du diabète,le rôle du rire dans les soins palliatifs
the role of laughter in palliative care,réflexion sur la place du rire en soins palliatifs,en citation à l'égard du processus
in process citation,douleur et soins au patient brûlé,en citation à l'égard du processus
in process citation,soins psychiatriques et vécu infirmier au liban, l'issue d'une amputation
reconstructing oneself after an amputation,se reconstruire après une amputation,l'élaboration de la nouvelle éducation des amputés
the re-education process of the amputee,le parcours rééducatif de la personne amputée,douleurs à la partie analogue
phantom limb pains,douleurs du membre fantôme,l'annonce de la nécessité d'amputer
the announcement of the need to amputate,l'annonce du diagnostic d'amputation,l’amputation sur le terrain
the nursing role in field amputation,rôle infirmier dans l'amputation de dégagement,en citation à l'égard du processus
in process citation,l'amputation en contexte post-traumatique,en citation à l'égard du processus
in process citation,épidémie d'ebola : un an déjà,fémoral fractures du cou chez les personnes âgées
femoral neck fractures in the elderly,5/20 la fracture du col du fémur du sujet âgé,l’aîné résilient
the resilient elderly person,le sujet âgé resilient,Une maison de soins infirmiers peut-elle se sentir comme une maison?
can a nursing home feel like home?,peut-on se sentir chez soi dans un ehpad?,l'autonomie des patients à domicile
maintaining patients' autonomy at home,maintenir l'autonomie des patients à domicile,la visite avant le retour à la maison
the visit prior to returning home,la visite préalable au retour à domicile,l’évacuation des patients âgés
timing the discharge of the elderly patient,"sortie d'hospitalisation, le juste moment","l'institution, la carte d'identité de la personne âgée"
"home, the elderly person's identity card","chez soi, 1a carte d'identité de la personne âgée",Préservation de la vie indépendante
preserving independent living,préserver l'indépendance au domicile,carpe diem!
carpe diem!,carpe diem!,introduction à l'imagerie diagnostique
introduction to diagnostic imaging,introduction à l'imagerie médicale,l’infirmière et les traitements d’ulcère
the nurse and ulcer treatments,l'infirmière et le traitement des ulcères,l’épuisement n’est pas une mort.
burnout is not a fatality,le burn-out n'est pas une fatalité,l'approche de la prise en charge en oncologie
the approach to care in oncology,l'approche des soins en cancérologie,« Travailler ensemble » à l'hôpital?
&quot;working together&quot; at hospital?,&quot;travailler ensemble&quot; à l'hôpital?,collaboration entre infirmières et infirmières et infirmières
collaboration between nurses and nurse-assistants,la collaboration infirmière/aide-soignante,l’instruction et la médiation des patients violents
dealing with the violent patient,l'infirmière face à un patient violent,Transplantation hépatique
liver transplantation,la transplantation hépatique,l’administration des patients avec conseils
management of patients with tips,la prise en charge des patients &quot;tipsés&quot;,cirrhose et ses complications
cirrhosis and its complications,la cirrhose et ses complications,diagnostic et évaluation initiale de la cirrhose
diagnosis and initial assessment of cirrhosis,diagnostic et bilan initial de la cirrhose,l’entretien du patient cirrhotique
caring for the cirrhotic patient,le parcours de soins du patient cirrhotique,"une expression de notre pratique, de notre vie"
"an expression of our practice, our life","du sens à notre pratique, à notre vie", l'aide d'un dispositif de l'aéronef
cervical cerclage,le cerclage cervical,condylama lata
condylama lata,condyloma lata,3/5 didier anzieu
3/5 didier anzieu,3/5 didier anzieu,"l’assassinat, à risque de se perdre"
"tony, at risk of getting lost","tony, au risque de s'y perdre",« Il ne peut y avoir de risques inutiles ».
&quot;there can be no unnecessary risks&quot;,« il ne saurait y avoir de risque inutile »,"psychiatrie, domaine de tous les risques"
"psychiatry, the field of all risks","psychiatrie, le champ de tous les risques",le ratio risque/avantages dans la psychiatrie
the risk/benefit ratio in psychiatry,la balance bénéfice/risque en psychiatrie,contrôler les risques de traitement
control the risks of treatment,maîtriser les risques du soin,quels sont les associations devenues?
what have the associations become?,que sont les associations devenues?,encéphalite chez un garçon de 12 ans
encephalitis in a 12-year-old boy,encéphalite chez un garçon de 12ans,l’absence de l’intention de l’homme et de la femme ne serait pas une erreur.
silence would be the greatest error,l'erreur serait de cacher,examen de la tocolyse
a review on tocolysis,le point sur la tocolyse,l'accouchement des nourrissons prématurés
delivery of premature infants,accouchement du prématuré,Bibliographie. chirurgie ambulatoire
bibliography. ambulatory surgery,eléments de bibliographie,l’épreuve de la chirurgie ambulatoire
the challenge of ambulatory surgery,"la chirurgie ambulatoire, un défi à relever",les défis économiques de la chirurgie de jour
the economic challenges of day surgery,les enjeux économiques de la chirurgie ambulatoire,chirurgie d'une journée et autorités publiques
day surgery and public authorities,chirurgie ambulatoire et pouvoirs publics,d'un pas plus près d'un pancréas artificiel
one step closer to an artificial pancreas,un pas de plus vers le pancréas artificial,- - - - - - - - - - - - - - - - - - - - - - - - 
new rectangular format dressings,des pansements aux nouveaux formats rectangulaires,Voir l'aperçu des établissements de santé
health facility overview,panorama des établissements de santé,Mesurer la satisfaction des patients hospitalisés
measuring inpatient satisfaction,mesurer la satisfaction des patients hospitalizes,d’une nouvelle revue pour les infirmières
a new journal for nurses,une revue scientifique pour les infirmières,Calendrier de vaccination 2015
2015 vaccination calendar,calendrier vaccinal 2015, l’occasion de la discussion sur la politique des soins de santé
debating the politics of health care,la politique de santé en débat,entre chien et loup
between dog and wolf,entre chien et loup,splénomégémie paludienne hyperréactive
hyper-reactive malarial splenomegaly,splénomégalie palustre hyper-réactive,Gestion mondiale des risques
global risk management,gestion globale des risques,l’évolution de la biologie du cancer pancréatique
advance in the biology of pancreatic of cancer,nouveautés dans la biologie du cancer du pancréas,réunion de la société française du cancer
meeting of the french society of cancer,congrès de la société française du cancer,alcool : bon ou non?
alcohol: good or not?,l'alcool: bon ou pas bon?,allergies : devrions-nous introduire des arachides dès le début?
allergies: should we introduce peanuts early ?,allergies: faut-il donner très tôt de l'arachide?,un verre de champagne!
a glass of champagne!,une coupe de champagne!,misophonia et psychiatrie contemporaine
misophonia and contemporary psychiatry,misophonie et psychiatrie contemporaine,jaddo-- le blogueur généraliste
jaddo-- the general practitioner blogger,jaddo--la blogueuse generalist,"patients, médecins et Internet"
"patients, doctors and the internet","patients, médecins et internet",en citation à l'égard du processus
in process citation,introduction,en citation à l'égard du processus
in process citation,"commentaire du travail de blick bl et al., pp. 626",en citation à l'égard du processus
in process citation,"commentaire du travail de yang mj et al., pp. 598",en citation à l'égard du processus
in process citation,la tungose présente depuis les incas,en citation à l'égard du processus
in process citation,épidémie de sarcocystose,en citation à l'égard du processus
in process citation,la brucellose est endémique,obstructive kyste colode du troisième ventricule
obstructive colloid cyst of the third ventricle,kyste colloïde obstructif du troisième ventricule,l’hémodialyse chronique
pregnancy in chronic hemodialysis,la grossesse chez les hémodialysées chroniques,et l’iniencephalie
antenatal diagnosis of iniencephaly,le diagnostic anténatal de l'iniencéphalie,liposarcome dorsal : une rare présentation clinique
dorsal liposarcoma: a rare clinical presentation,liposarcome dorsal: aspect clinique rare, l'aide d'un échantillon d'obturateurs étranglés : environ deux cas
strangulated obturator hernia: about two cases,hernie obturatrice étranglée: à propos de deux cas,teratome sacrococcygéal : rapport d'un cas
sacrococcygeal teratoma: report of a case,tératome sacro-coccygien: à propos d'un cas,fausse aneurysme artériel intracranial traumatisant
false traumatic intracranial arterial aneurysm,faux anévrisme artériel traumatique intracrânien,en citation à l'égard du processus
