en_tokenized,fr_tokenized
"['what', 'if', 'all', 'causes', 'were', 'not', 'investigated', '?']","['et', 'si', 'toutes', 'les', 'causes', ""n'étaient"", 'pas', 'explorées', '?']"
"['involvement', 'of', 'collaborators', ',', 'key', 'to', 'success']","[""l'implication"", 'des', 'collaborateurs', ',', 'clef', 'du', 'succàs']"
"['george', ""'s"", 'clock']","[""l'horloge"", 'de', 'georges']"
"['an', 'engagement', 'at', 'the', 'teddy', 'bear', 'hospital']","['un', 'engagement', 'à', ""l'hôpital"", 'des', 'nounours']"
"['insidious', 'epidemic']","['sournoise', 'épidémie']"
"['with', 'perseverance', 'and', 'passion']","['mit', 'ausdauer', 'und', 'leidenschaft']"
"['in', 'the', 'end', 'in', 'service', 'of', 'humanity']","['am', 'ende', 'im', 'dienst', 'des', 'menschen']"
"['in', 'process', 'citation']","['living', 'lab', 'macvia', 'handicap']"
"['epilepsy', 'and', 'driving']","['épilepsie', 'et', 'conduite', 'automobile']"
"['in', 'process', 'citation']","['living', 'lab', 'macvia', 'maladies', 'infectieuses', 'chroniques']"
"['encouraging', 'comments', 'and', 'controversies']","['tribunes', 'libres', 'et', 'débats', 'transversaux']"
"['sequencing', 'babies', '?']","['séquencer', 'les', 'bébés', '?', '-', 'chroniques', 'génomiques']"
"['randomness', 'and', 'cell', 'fate']","['hasard', 'et', 'destinée', 'cellulaire']"
"['complete', 'hydatidiform', 'mole']","['la', 'môle', 'hydatiforme', 'complète']"
"['prader-willi', 'syndrome', 'in', '2015']","['le', 'syndrome', 'de', 'prader-willi', 'en', '2015']"
"['investing', 'in', 'knowledge']","['investir', 'dans', 'la', 'connaissance']"
['blind'],['aveugle']
"['the', 'actions', 'of', 'the', 'editorial', 'committee']","['les', 'actions', 'du', 'comité', 'éditorial']"
"['in', 'process', 'citation']","['living', 'lab', 'macvia-lr', 'fragilité']"
"['in', 'process', 'citation']","['living', 'lab', 'macvia', 'maladies', 'chroniques']"
"['in', 'process', 'citation']",['introduction']
"['tuberculous', 'ulceration', 'of', 'the', 'penis']","['ulcération', 'pénienne', 'tuberculeuse']"
"['secondary', 'syphilis']","['syphilis', 'secondaire']"
"['the', 'psa', 'caught', 'out']","['le', 'psa', 'pris', 'en', 'défaut']"
"['mixed', 'depression', 'and', 'dsm-5', ':', 'a', 'critical', 'review']","['dépression', 'mixte', 'et', 'dsm-5', ':', 'mise', 'au', 'point', 'critique']"
"['fears', 'and', 'tears', 'from', 'prostate', 'cancer']","['peurs', 'et', 'pleurs', 'du', 'cancer', 'de', 'prostate']"
"['in', 'process', 'citation']","['lachgas', 'in', 'der', 'zahnmedizin']"
"['brimonidine', '(', 'mirvaso', ')', ',', 'dermal', 'use']","['brimonidine', '(', 'mirvaso', ')', ',', 'usage', 'dermique']"
"['euthanasia', ':', 'what', 'the', 'pharmacist', 'should', 'know']","['euthanasie', ':', 'ce', 'que', 'doit', 'savoir', 'le', 'pharmacien']"
"['in', 'process', 'citation']","['promontofixation', 'monotrocart', 'robot-assistée']"
"['in', 'process', 'citation']","['la', 'cystoprostatectomie', 'robotique', ':', 'step', 'by', 'step']"
"['in', 'process', 'citation']","['cystectomie', 'totale', 'chez', 'les', 'octogénaires']"
"['a', 'buddhist', 'view', 'of', 'health', 'and', 'care']","['regard', 'bouddhiste', 'sur', 'la', 'santé', 'et', 'les', 'soins']"
"['islam', 'and', 'caring']","[""l'islam"", 'et', 'le', 'prendre', 'soin']"
"['spirituality', 'in', 'hospitals']","['la', 'laïcité', 'à', ""l'hôpital""]"
"['construction', 'of', 'the', 'french', 'concept', 'of', 'spirituality']","['la', 'construction', 'de', 'la', 'laïcité', 'française']"
"['living', 'together', '!']","['vivre', 'ensemble', '!']"
"['neurosciences', 'and', 'law']","['neurosciences', 'et', 'neurodroit']"
"['an', 'arm', 'lesion']","['une', 'lésion', 'cutanée', 'du', 'bras']"
"['pycnodysostosis', ',', 'a', 'case', 'report']","['la', 'pycnodysostose', ',', 'à', 'propos', ""d'un"", 'cas']"
"['two', 'big', 'cheeks']","['deux', 'grosses', 'joues']"
"['resuscitation', 'dosage', 'calculations']","['calculs', 'de', 'dose', 'en', 'réanimation']"
"['ionizing', 'radiation', 'in', 'cancer', 'treatment']","['les', 'rayonnements', 'ionisants', 'à', 'usages', 'thérapeutiques']"
"['the', 'nurse', 'and', 'the', 'wet', 'wrapping', 'technique']","[""l'infirmière"", 'et', 'la', 'technique', 'de', 'wet', 'wrapping']"
"['securing', 'the', 'use', 'of', 'thermosensitive', 'drugs']","['sécuriser', ""l'usage"", 'des', 'médicaments', 'thermosensibles']"
"['new', 'portfolio', ',', 'a', 'users', ""'"", 'manual']","['nouveau', 'portfolio', ',', 'mode', ""d'emploi""]"
"['patient', 'education', 'and', 'breast', 'cancer']","['éducation', 'thérapeutique', 'et', 'cancer', 'du', 'sein']"
"['from', 'bearing', 'arms', 'to', 'nursing', 'care']","['du', 'métier', 'des', 'armes', 'aux', 'soins', 'infirmiers']"
"['the', 'patient', 'as', 'partner']","['le', 'par', '(', 't', ')', 'i', 'du', 'partenariat']"
"['epiretinal', 'membranes']","['les', 'membranes', 'épirétiniennes', 'maculaires']"
"['car', 'driving', 'and', 'psychiatry']","['conduite', 'automobile', 'et', 'psychiatrie']"
"['sleepiness', 'and', 'accidental', 'risk']","['somnolence', 'et', 'risque', 'accidentel']"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'nanda', 'ks', 'et', 'al.', ',', 'pp', '.', '710']"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'pan', 'y', 'et', 'al.', ',', 'pp', '.', '688']"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'kim', 'jw', 'et', 'al.', ',', 'pp', '.', '680']"
"['hepatitis', 'c', ':', 'reimbursement', 'extension']","['hépatite', 'c', ':', 'extension', 'du', 'remboursement']"
"['living', 'history']","['histoire', 'vivante']"
"['misophonia', 'and', 'contemporary', 'psychiatry']","['misophonie', 'et', 'psychiatrie', 'contemporaine']"
"['isolated', 'chest', 'trauma', 'in', 'elderly', 'patients']","['traumatisme', 'isolé', 'du', 'thorax', 'chez', 'la', 'personne', 'âgée']"
"['non', 'invasive', 'ventilation', 'in', 'the', 'emergency', 'setting']","['ventilation', 'non', 'invasive', 'en', 'urgence']"
"['upper', 'airway', 'dyspnea', 'in', 'the', 'adult']","['dyspnée', 'haute', 'chez', ""l'adulte""]"
"['help', ',', 'i', 'ca', ""n't"", 'breathe']","['&', 'quot', ';', 'au', 'secours', ',', 'jfétouffe', '...', '&', 'quot', ';', '!']"
"['intramural', 'ectopic', 'pregnancy', ':', 'about', 'a', 'case']","['grossesse', 'intra', 'murale', 'à', 'propos', ""d'un"", 'cas']"
"['an', 'update', 'on', 'adenomyosis', 'and', 'implantation']","['adénomyose', 'et', 'implantation', ':', 'mise', 'au', 'point']"
"['religious', 'orders', 'and', 'hospitals', 'of', 'seine-maritime']","['ordres', 'et', 'hôpitaux', 'en', 'seine-maritime']"
"['tribute', 'to', 'maurice', 'rochaix']","['hommage', 'à', 'maurice', 'rochaix']"
"['social', 'inequalities', 'in', 'maternal', 'health']","['inégalités', 'sociales', 'de', 'santé', 'maternelle']"
"['facial', 'palsy', 'sequel', 'and', 'botulinum', 'toxin']","['séquelles', 'de', 'paralysie', 'faciale', 'et', 'toxine', 'botulique']"
"['cannabis', 'in', 'france', ',', 'new', 'insights']","['la', 'situation', 'actuelle', 'du', 'cannabis', 'en', 'france']"
"['in', 'process', 'citation']","['fièvre', 'de', 'lassa', 'et', 'ribavirine']"
"['cell', 'phone', 'vs', 'paracetamol']","['téléphone', 'portable', 'versus', 'paracétamol']"
"['the', 'non-uptake', 'of', 'prenatal', 'care', 'in', 'burkina', 'faso']","['le', 'non-recours', 'aux', 'soins', 'prénatals', 'au', 'burkina', 'faso']"
"['robert', 'labauge', '(', '1922-2015', ')']","['robert', 'labauge', '(', '1922-2015', ')']"
"['the', 'changing', 'face', 'of', 'public', 'health', 'in', 'quebec']","['la', 'santé', 'publique', 'en', 'mouvement', 'au', 'québec']"
"['new', 'impetus', 'to', 'build', 'the', 'future']","['de', 'nouvelles', 'impulsions', 'pour', 'construire', ""l'avenir""]"
"['music', 'soothes', 'the', 'souls']","['la', 'musique', 'adoucit', 'les', 'mœurs']"
"['the', 'habits', 'to', 'move', 'quickly', '!']","['des', 'habitudes', 'à', 'bousculer', '!']"
"['jean-claude', 'monney']","['jean-claude', 'monney']"
"['a', 'quebec-swiss', 'exchange']","['un', 'échange', 'québec-suisse']"
"['impressed', 'by', 'the', 'openness', 'of', 'the', 'dialogue']","['impressionnée', 'par', ""l'ouverture"", 'au', 'dialogue']"
"['so', 'many', '&', 'quot', ';', 'whys', '&', 'quot', ';']","['tant', 'de', '&', 'quot', ';', 'pourquoi', '&', 'quot', ';']"
"['broad', 'and', 'complex']","['breit', 'und', 'complex']"
"['getting', 'involved', ',', 'wherever', 'it', 'is', 'possible', '?']","['sich', 'einbringen', ',', 'wo', 'immer', 'dies', 'möglich', 'ist', '?']"
"['still', 'invisible', ',', 'but', 'not', 'forgotten']","['noch', 'unsichtbar', ',', 'aber', 'nicht', 'vergessen']"
"['management', 'of', 'myelodysplastic', 'syndromes']","['prise', 'en', 'charge', 'des', 'myélodysplasies']"
"['long', 'life', 'to', 'the', 'pill', '!']","['vive', 'la', 'pilule', '!']"
"['primitive', 'anorectal', 'melanoma']","['mélanome', 'anorectal', 'primitif']"
"['obesity', ',', 'bariatric', 'surgery', 'and', 'fertility']","['obésité', ',', 'chirurgie', 'bariatrique', 'et', 'fertilité']"
"['multifocal', 'tuberculosis', 'in', 'an', 'immunocompetent']","['tuberculose', 'multifocale', 'chez', 'un', 'immunocompétent']"
"['fibrous', 'dysplasia', ':', 'overview']","['la', 'dysplasie', 'fibreuse', ':', 'état', 'des', 'lieux']"
"['retroperitoneal', 'leiomyoma', ':', 'report', 'of', '2', 'cases']","['le', 'léiomyome', 'rétro-péritonéal', ':', 'à', 'propos', 'de', '2', 'cas']"
"['standards', 'and', 'infringement']","['norme', 'et', 'transgression']"
"['trisomy', ':', 'blood', 'test', 'reimbursed']","['trisomie', ':', 'test', 'sanguin', 'remboursé']"
"['poetry', 'and', 'its', 'reasons']","['la', 'poésie', 'a', 'ses', 'raisons']"
"['a', 'pill', 'to', 'replace', 'physical', 'activity', '?']","['une', 'pilule', 'pour', 'remplacer', ""l'activité"", '--', 'physique', '?']"
"['carotid', 'atherosclerosis', 'and', 'dementia']","['athérosclérose', 'carotidienne', 'et', 'démences']"
"['what', 'does', '0by25', 'mean', '?']","[""qu'est"", 'ce', 'que', '«', '0by25', '»', 'signifie', '?']"
"['thyroid', 'pathology', '.', 'pre-test', 'answers']","['pathologie', 'de', 'la', 'thyroïde', '.', 'réponses', 'au', 'pré-test']"
"['drugs', 'news']",['info-médicaments']
"['the', 'two', 'faces', 'of', 'sjögren', ""'s"", 'syndrome']","['les', 'deux', 'visages', 'du', 'syndrome', 'de', 'gougerot-sjögren']"
"['cold-induced', 'skin', 'lesions']","['des', 'lésions', 'cutanées', 'au', 'froid']"
"['persistent', 'myalgia', 'in', 'a', '58-year-old', 'man']","['une', 'biopsie', 'musculaire', 'qui', 'passe', 'mal']"
"['an', '«', 'atypical', '»', 'inguinal', 'lymphadenopathy']","['une', 'adénopathie', 'inguinale', '«', 'atypique', '»']"
"['a', 'rare', 'splenic', 'lesion']","['une', 'lésion', 'splénique', 'rare']"
"['perinatal', 'neuroprotection', 'in', '2015']","['la', 'neuroprotection', 'périnatale', 'en', '2015']"
"['twelve', 'hour', 'work', 'shifts', ',', 'an', 'opportunity', '?']","['le', 'travail', 'en', '12', 'heures', ',', 'une', 'opportunité', '?']"
"['new', 'myriad', 'of', 'summer-time', 'clinical', 'cases']","['un', 'nouveau', 'florilège', 'estival', 'de', 'cas', 'cliniques']"
"['frantz', 'tumor', 'in', 'a', 'child']","['tumeur', 'de', 'frantz', 'chez', ""l'enfant"", ':', 'a', 'propos', ""d'un"", 'cas']"
"['hibernoma', 'of', 'the', 'thigh', '.', 'a', 'case', 'report']","['hibernome', 'de', 'la', 'cuisse', '.', 'a', 'propos', ""d'un"", 'cas']"
"['homage', 'to', 'professor', 'andre', 'govaerts']","['hommage', 'au', 'professeur', 'andré', 'govaerts']"
"['homage', 'to', 'professor', 'philippe', 'lheureux']","['hommage', 'au', 'professeur', 'philippe', 'lheureux']"
"['a', '74-year', 'old', 'woman', 'with', 'orofacial', 'granulomatosis']","['granulomatose', 'oro-faciale', 'chez', 'une', 'femme', 'de', '74', 'ans']"
"['munchausen', 'by', 'proxy', 'syndrome']","['le', 'syndrome', 'de', 'munchausen', 'par', 'procuration']"
"['an', 'exceptional', 'endocervical', 'nodule']","['un', 'nodule', 'endocervical', 'exceptionnel']"
"['thyroid', 'pathology', '.', 'pre-test']","['pathologie', 'de', 'la', 'thyroïde', '.', 'pré-test']"
"['physician', 'practice', 'improvement']","['les', 'experts', 'internationaux', 'de', 'la', 'santé']"
"['progress', 'in', 'head', 'and', 'neck', 'cancer']","['cancérologie', 'orl', ',', 'de', 'nouveaux', 'progrès']"
"['rare', 'metastasis', 'of', 'a', 'pulmonary', 'adenocarcinoma']","['métastase', 'rare', ""d'un"", 'adenocarcinoma', 'pulmonaire']"
"['desmoid', 'fibromatosis', 'of', 'the', 'lower', 'limb']","['fibromatose', 'desmoïde', 'de', 'la', 'jambe']"
"['nursing', 'management', 'of', 'pain']","[""l'infirmière"", 'face', 'à', 'la', 'douleur']"
"['gestational', 'diabetes']","['le', 'diabète', 'gestationnel']"
"['nursing', 'tutor', ',', 'working', 'closely', 'with', 'students']","['infirmière', 'tutrice', ',', 'au', 'plus', 'près', 'des', 'étudiants']"
"['coma', 'and', 'communication']","['coma', 'et', 'communication']"
"['ethics', 'and', 'coma']","['éthique', 'et', 'coma']"
"['coma', 'in', 'france', 'today']","['les', 'comas', 'en', 'france', ""aujourd'hui""]"
"['nursing', 'care', 'of', 'the', 'coma', 'patient']","['les', 'soignants', 'face', 'aux', 'comas']"
"['honoring', 'caregivers']","['mettre', 'à', ""l'honneur"", 'les', 'proches', 'aidants']"
"['pneumonia', 'in', 'the', 'elderly']","['7/20', 'les', 'pneumopathies', 'du', 'sujet', 'âgé']"
"['generalized', 'pruritus']","['17/17', 'un', 'prurit', 'généralisé']"
"['pleasure', 'and', 'aging', 'in', 'the', 'elderly']","['plaisir', 'et', 'vieillissement', 'chez', 'les', 'plus', 'de', '65', 'ans']"
"['alzheimer', ""'s"", 'disease', ',', 'caregiving', 'and', 'frailty']","['maladie', ""d'alzheimer"", ',', 'relation', ""d'aide"", 'et', 'fragilité']"
"['supporting', 'caregivers']","['et', 'vous', ',', 'comment', 'allez-vous', '?']"
"['quality', 'or', 'quantity', 'of', 'life', '?']","['qualité', 'ou', 'quantité', 'de', 'vie', '?']"
"['infantile', 'scurvy', ':', 'two', 'cases']","['scorbut', 'chez', ""l'enfant"", ':', 'deux', 'cas']"
"['type', 'i', 'interferonopathies']","['interféronopathies', 'de', 'type', 'i']"
"['4/5', 'melanie', 'klein']","['4/5', 'melanie', 'klein']"
"['a', 'warrior', 'named', 'gaspard']","['un', 'guerrier', 'nommé', 'gaspard']"
"['the', 'benefit', 'of', 'self-assessment', 'in', 'rehabilitation']","['intérêt', 'de', ""l'auto-évaluation"", 'en', 'réhabilitation']"
"['nursing', 'support', 'in', 'a', 'housing', 'association', 'apartment']","['accompagnement', 'infirmier', 'en', 'appartement', 'associatif']"
['recovery'],"['au', 'sujet', 'du', 'rétablissement']"
"['soins', 'psychiatrie', ',', 'a', 'reference', 'for', '35', 'years']","['soins', 'psychiatrie', ',', 'une', 'référence', 'depuis', '35', 'ans']"
"['practical', 'risk', 'analysis']","['analyse', 'des', 'risques', 'a', 'priori', 'en', 'pratique']"
"['ischemic', 'stroke', 'in', 'the', 'young', 'adult']","['infarctus', 'cérébral', 'du', 'sujet', 'jeune']"
"['pseudo-coats', 'diagnosed', 'in', '58-year-old', 'woman']","['pseudo-coats', 'diagnostiqué', 'chez', 'une', 'femme', 'de', '58ans']"
"['citizen', 'partners', 'for', 'mental', 'health']","['citoyens', 'partenaires', 'pour', 'la', 'santé', 'mentale']"
"['anaemia', 'and', 'chronic', 'diseases']","['anémie', 'et', 'maladies', 'chroniques']"
"['heart', 'failure', 'and', 'comorbidities']","['insuffisance', 'cardiaque', 'et', 'pathologies', 'associées']"
"['presumed', 'ocular', 'histoplasmosis', 'syndrome']","['syndrome', ""d'histoplasmose"", 'oculaire', 'présumé']"
"['radiomics', ':', 'definition', 'and', 'clinical', 'development']","['définition', 'et', 'applications', 'cliniques', 'des', 'radiomics']"
"['experience', 'feedback', 'committees', '(', 'crex', ')', 'and', 'beyond…']","['les', 'crex', 'et', 'après…']"
"['the', 'quality', 'of', 'life', 'in', 'schizophrenia']","['la', 'qualité', 'de', 'vie', 'en', 'schizophrénie']"
"['atypical', 'presentation', 'of', 'orbital', 'sarcoidosis']","['présentation', 'atypique', ""d'une"", 'sarcoïdose', 'orbitaire']"
"['leprosy', 'is', 'definitely', 'not', 'a', 'disease', 'of', 'the', 'past']","['la', 'lèpre', ""n'est"", 'pas', 'une', 'maladie', 'du', 'passé']"
"['hiv-1', 'drives', 'the', 'migration', 'of', 'macrophages']","['le', 'vih-1', 'pilote', 'la', 'migration', 'des', 'macrophages']"
"['antiplatelet', 'drugs', ':', 'what', ""'s"", 'new', '?']","['les', 'antiplaquettaires', ':', 'quoi', 'de', 'neuf', '?']"
"['current', 'management', 'of', 'hepatocellular', 'carcinoma']","['prise', 'en', 'charge', 'du', 'carcinome', 'hépatocellulaire']"
"['new', 'kidney', 'transplants']","['les', 'nouveaux', 'greffons', 'rénaux']"
"['in', 'memoriam', '.', 'charles', 'j.', 'burstone', '(', '1928-2015', ')']","['in', 'memoriam', '.', 'charles', 'j.', 'burstone', '(', '1928-2015', ')']"
"['the', 'prehistory', 'of', 'orthodontics']","['la', 'préhistoire', 'de', ""l'orthodontie""]"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'bove', 'v', 'et', 'al.', ',', 'pp', '.', '611']"
"['macular', 'serpiginous', 'choroiditis']","['choroïdite', 'serpigineuse', 'maculaire']"
"['sebaceous', 'carcinoma', 'of', 'the', 'parotid', 'gland']","['carcinome', 'sébacé', 'de', 'la', 'glande', 'parotide']"
"['facial', 'paralysis', ':', 'attitude', 'practice']","['paralysie', 'faciale', ':', 'attitude', 'pratique']"
"['diagnostic', 'ultrasound', 'in', 'pneumothorax']","['diagnostic', 'échographique', 'du', 'pneumothorax']"
"['early', 'cardiotoxicity', 'of', 'hydroxychloroquine']","['cardiotoxicité', 'précoce', 'de', ""l'hydroxychloroquine""]"
"['pancreatic', 'pseudotumor']","['une', 'pseudo-tumeur', 'pancréatique']"
"['infectious', 'diseases', 'news']","['infos', 'infectieux']"
"['myelitis', 'revealing', 'sarcoidosis']","['myélite', 'sarcoïdosique', 'révélatrice']"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'tsujii', 'y', 'et', 'al.', ',', 'pp', '.', '775']"
"['poems', 'syndrome', ':', 'a', 'diagnosis', 'to', 'not', 'to', 'ignore']","['poems', 'syndrome', ':', 'un', 'diagnostic', 'à', 'ne', 'pas', 'méconnaitre']"
"['cystic', 'lymphangioma', 'of', 'the', 'parotid', 'gland']","['lymphangiome', 'kystique', 'de', 'la', 'parotide']"
"['a', 'rare', 'case', 'of', 'pure', 'subtalar', 'dislocation']","['un', 'cas', 'rare', 'de', 'luxation', 'sous-talienne', 'pure']"
"['waardenburg', 'syndrome']","['syndrome', 'de', 'waardenburg']"
"['report', 'summary', '--', 'mental', 'illness', 'in', 'canada', ',', '2015']","['journées', 'de', 'neurologie', 'de', 'langue', 'française', '2015']"
"['social', 'inequalities', 'in', 'perinatal', 'health']","['inégalités', 'sociales', 'en', 'santé', 'périnatale']"
"['chronic', 'lymphocytic', 'leukemia']","['leucémies', 'lymphoïdes', 'chroniques']"
"['addiction', 'to', 'alcohol']","['addiction', 'à', ""l'alcool""]"
"['monitoring', 'and', 'complications', 'of', 'venous', 'access']","['surveillance', 'et', 'complications', 'des', 'abords', 'veineux']"
['breastfeeding'],"['allaitement', 'maternel']"
"['realities', 'of', 'alcohol', 'withdrawal']","['actualité', 'dans', 'le', 'sevrage', 'alcoolique']"
"['prevention', 'of', 'breastfeeding', 'complications']","['prévention', 'des', 'complications', 'de', ""l'allaitement""]"
"['an', 'evidence', 'based', 'center', 'for', 'primary', 'care']","['un', 'centre', 'de', 'ressources', '(', 'de', 'soins', 'primaires', ')']"
"['arterial', 'hypertension', 'of', 'renal', 'origin']","['hypertensions', 'artérieles', ""d'origine"", 'rénale']"
"['pheochromocytoma', 'and', 'paraganglioma']","['phéochromocytome', 'et', 'paragangliome']"
"['renal', 'artery', 'stenosis']","['sténoses', 'artérielles', 'rénales']"
"['primary', 'aldosteronism']","['hyperaldostéronisme', 'primaire']"
"['colorectal', 'cancer', 'biology']","['biologie', 'des', 'cancers', 'colorectaux']"
"['management', 'of', 'metastatic', 'colorectal', 'cancer']","['traitement', 'du', 'cancer', 'colorectal', 'métastatique']"
"['adjuvant', 'treatment', 'for', 'resected', 'colon', 'cancer']","['traitements', 'adjuvants', 'des', 'cancers', 'du', 'côlon']"
"['peri-operative', 'treatments', 'for', 'rectal', 'cancer']","['traitements', 'péri-opératoires', 'du', 'cancer', 'du', 'rectum']"
"['surgical', 'treatment', 'of', 'colorectal', 'cancer']","['traitement', 'chirurgical', 'du', 'cancer', 'colorectal']"
"['screening', 'and', 'prevention', 'of', 'colorectal', 'cancer']","['dépistage', 'et', 'prévention', 'du', 'cancer', 'colorectal']"
"['epidemiology', 'of', 'colorectal', 'cancer']","['épidémiologie', 'du', 'cancer', 'colorectal']"
"['colorectal', 'cancer', ':', 'a', 'heterogeneous', 'complex', 'model']","['cancer', 'colorectal', ':', 'un', 'modèle', 'hétérogène', 'complexe']"
"['ebola', 'virus', 'disease']","['maladie', 'à', 'virus', 'ebola']"
"['vascular', 'liver', 'diseases']","['maladies', 'vasculaires', 'du', 'foie']"
"['getting', 'out', 'of', 'tobacco']","['sortir', 'du', 'tabac']"
"['circulating', 'nucleic', 'acids', 'and', 'infertility']","['les', 'acides', 'nucléiques', 'circulants', 'et', 'infertilité']"
"['in', 'process', 'citation']","['médecine', 'vasculaire', 'du', 'futur…']"
"['in', 'process', 'citation']",['éditorial']
"['ornac', 'strategic', 'planning', ':', '2015-2018']",['discussion']
['discussion'],['discussion']
"['major', 'depression', 'and', 'personalized', 'medicine']","['dépression', 'majeure', 'et', 'prescription', 'personnalisée']"
"['osteoporosis', 'and', 'personalized', 'medicine']","['ostéoporose', 'et', 'médecine', 'personnalisée']"
"['general', 'and', 'personalized', 'approach', 'of', 'biomarkers']","['approche', 'globale', 'et', 'personnalisée', 'des', 'biomarqueurs']"
"['the', 'foundations', 'of', 'evidence-based', 'medicine']","['les', 'fondements', 'de', 'la', 'médecine', 'factuelle']"
"['management', 'of', 'pulmonary', 'embolism', ':', 'a', '2015', 'update']","['prise', 'en', 'charge', 'de', ""l'embolie"", 'pulmonaire', 'en', '2015']"
"['the', 'frontage', 'and', 'the', 'other', 'headlines']","[""l'arbre"", 'et', 'la', 'forêt']"
['editorial'],['éditorial']
"['do', 'weather', 'and', 'seasons', 'influence', 'our', 'heart', '?']","['météo', 'et', 'saisons', 'influencent-elles', 'notre', 'cœur', '?']"
"['what', ""'s"", 'new', 'in', 'alzheimer', 'disease', '?']","['quoi', 'de', 'neuf', 'du', 'côté', 'de', 'la', 'maladie', ""d'alzheimer"", '?']"
"['prescribing', 'marijuana', 'for', 'chronic', 'pain']","['prescrire', 'la', 'marijuana', 'pour', 'la', 'douleur', 'chronique']"
"['dancing', 'with', 'artificial', 'intelligence']","['danse', 'avec', ""l'intelligence"", 'artificielle']"
"['41', '%', 'of', 'geneve', 'residents', 'are', 'overweight']","['41', '%', 'des', 'genevois', 'sont', 'en', 'surpoids']"
"['pomalidomide', 'for', 'multiple', 'myeloma']","['le', 'pomalidomide', 'dans', 'le', 'myélome', 'multiple']"
"['conflicts', 'in', 'conflicts', 'of', 'interest']","['conflits', 'dans', 'les', 'conflits', ""d'intérêts""]"
"['vaud', ':', 'historic', 'agreement', 'in', 'oncology']","['vaud', ':', 'accord', '&', 'quot', ';', 'historique', '&', 'quot', ';', 'en', 'oncologie']"
"['thanks', ',', 'you', ""'re"", 'welcome']","['merci', ',', 'de', 'rien']"
"['robotic-assisted', 'hepatic', 'surgery']","['la', 'chirurgie', 'hépatique', 'robot-assistée']"
"['surgery', '2015', ':', 'strategies', 'and', 'technologies']","['chirurgie', '2015', ':', 'stratégies', 'et', 'technologies']"
"['negative', 'pressure', 'therapy', ':', 'npt']","['la', 'thérapie', 'à', 'pression', 'négative', ':', 'la', 'tpn']"
"['longitudinal', 'melanonychia']","['mélanonychie', 'longitudinale']"
"['hypertensive', 'emergencies', 'and', 'urgencies']","['vraies', 'et', 'fausses', 'urgences', 'hypertensives']"
"['about', 'moral', 'enhancement']","['à', 'propos', 'du', 'moral', 'enhancement']"
"['from', 'synthetic', 'biology', 'to', 'synthetic', 'humankind']","['de', 'la', 'biologie', 'synthétique', 'à', ""l'homme"", 'synthétique']"
['noma'],"['le', 'noma']"
"['bioethics', 'destiny']","['le', 'devenir', 'de', 'la', 'bioéthique']"
"['how', 'i', 'perform…a', 'rescue', 'cervical', 'cerclage']","['comment', 'je', 'fais…un', 'cerclage', '«', 'parachute', '»']"
"['in', 'process', 'citation']",['avant-propos']
"['posterior', 'mediastinal', 'mass']","['masses', 'médiastinales', 'postérieures']"
"['fall', 'from', 'a', 'scooter']","['chute', 'en', 'trottinette']"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'arnelo', 'u', 'et', 'al.', ',', 'pp', '.', '696']"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'sinh', 'p', 'et', 'al.', ',', 'pp', '.', '669']"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'chung', 'kh', 'et', 'al.', ',', 'pp', '.', '508']"
"['drugs', 'effect', 'on', 'cognition', 'in', 'the', 'elderly']","['médicaments', 'et', 'cognition', 'chez', 'le', 'sujet', 'âgé']"
"['micrornas', 'in', 'kidney', 'fibrosis']","['implication', 'des', 'microarn', 'dans', 'la', 'fibrose', 'rénale']"
"['isolated', 'adie', 'pupil', ':', 'about', 'a', 'case']","['pupille', ""d'adie"", 'isolée', ':', 'à', 'propos', ""d'un"", 'cas']"
"['penile', 'and', 'scrotal', 'avulsion', 'by', 'cow', 'horn']","['avulsion', 'péno-scrotale', 'par', 'encornement', 'de', 'zebu']"
"['trichofolliculoma', 'of', 'the', 'eyelid']","['trichofolliculome', 'palpébral']"
"['a', 'retinal', 'hamartoma']","['un', 'hamartome', 'rétinien']"
"['a', 'genetic', 'id', 'for', 'tomorrow', '?']","['une', 'carte', ""d'identité"", 'génétique', 'pour', 'demain', '?']"
"['immortality', ',', 'death', 'and', 'other', 'minor', 'phenomena']","['immortalité', ',', 'mort', 'et', 'autres', 'menus', 'phénoménes']"
"['evolution', 'and', 'changes', 'of', 'family', 'planning']","['les', 'mutations', 'du', 'planning', 'familial']"
"['a', 'dramatic', 'drone']","['drone', 'de', 'drame']"
"['polycystic', 'ovaries', ':', 'what', ""'s"", 'news', 'in', '2015', '?']","['syndrome', 'des', 'ovaires', 'polykystiques', ':', 'quoi', 'de', 'neuf', '?']"
"['new', 'tobacco', 'vaporizers', ':', 'how', 'to', 'react', '?']","['nouveaux', 'vaporisateurs', 'de', 'tabac', ':', 'comment', 'réagir', '?']"
